episode;date;rating;title;summary
S06E16;1995-02-19;8.5;Bart vs. Australia;After he makes a collect call to Australia and refuses to pay for it, Bart sparks an international incident, with the Simpsons forced to travel to the country in order to repair political relations.
S06E17;1995-02-26;7.8;Homer vs. Patty and Selma;Desperate for money, Homer takes a loan from Patty and Selma; Bart discovers a natural talent for ballet.
S06E18;1995-03-05;8.5;A Star Is Burns;The citizens of Springfield host their own film festival, with popular movie critic Jay Sherman arriving from New York to judge.
S06E19;1995-03-19;8.3;Lisa's Wedding;A fortune teller gives Lisa a look at her wedding in the year 2010.
S06E20;1995-04-09;8.1;Two Dozen and One Greyhounds;Santa's Little Helper's new mate has puppies, and Mr. Burns schemes to steal them and make them into a coat.
S06E21;1995-04-16;8.0;The PTA Disbands;Bart manipulates Mrs. Krabappel into leading a teachers' strike against Principal Skinner, but is perturbed when Marge becomes his substitute.
S06E22;1995-04-30;8.1;'Round Springfield;When Bart is hospitalized, Lisa runs into her mentor Bleeding Gums Murphy, who is also a patient, and becomes devastated when he dies soon after.
S06E23;1995-05-07;8.2;The Springfield Connection;Marge deals with corruption and crime when she joins the Springfield police force.
S06E24;1995-05-14;8.7;Lemon of Troy;When a group of Shelbyville kids steal Springfield's sacred lemon tree, Bart and his friends venture there to get the tree back.
S06E25;1995-05-21;9.2;Who Shot Mr. Burns? Part One;After Mr. Burns steals oil from Springfield Elementary and blocks out the sun, an unknown person shoots him.
S07E01;1995-09-17;9.0;Who Shot Mr. Burns? Part Two;Mr. Burns is laying in the hospital while the investigation into his shooter begins. Every citizen has motivation, but it's Simpson DNA that has been found.
S07E02;1995-09-24;8.3;Radioactive Man;Milhouse is cast as Radioactive Man's sidekick in a Hollywood production of the comic book.
S07E03;1995-10-01;8.4;Home Sweet Home-Dum-Diddly Doodily;Marge and Homer lose custody of the kids, who are sent to live at the Flanders' house.
S07E04;1995-10-08;8.8;Bart Sells His Soul;Bart casually sells his soul to Milhouse for $5 but soon regrets it; Moe converts his dank bar into a family restaurant.
S07E05;1995-10-15;8.5;Lisa the Vegetarian;A trip to a local petting zoo convinces Lisa to give up meat, despite excessive pressure to convince her not to do so.
S07E06;1995-10-29;8.6;Treehouse of Horror VI;A lightning storm causes giant advertising mascots to come to life; The children are terrorized by Groundskeeper Willie in their dreams; Homer finds himself trapped in another dimension.
S07E07;1995-11-05;9.0;King Size Homer;Homer intentionally gains more weight in order to qualify for disability and work from home, but soon realizes that being morbidly obese comes with its own problems.
S07E08;1995-11-19;8.7;Mother Simpson;After faking his own death, Homer is reunited with his mother, who harbors a deep secret.
S07E09;1995-11-26;8.0;Sideshow Bob's Last Gleaming;Sideshow Bob again escapes from prison and takes control of a TV screen at an air show, demanding all television stations immediately go off the air.
S07E10;1995-12-03;7.4;The Simpsons 138th Episode Spectacular!;Troy McClure hosts a retrospective of the first 137 episodes of
S07E11;1995-12-17;8.5;Marge Be Not Proud;Marge's relationship with Bart is strained when he is caught shoplifting before Christmas.
S07E12;1996-01-07;8.3;Team Homer;Homer starts a bowling team with Moe, Apu and Otto, but Mr. Burns insists on joining after learning that the team was funded with his money; Springfield Elementary introduces uniforms.
S07E13;1996-01-14;8.5;Two Bad Neighbors;Former President George Bush and his wife, Barbara, move into the Simpsons' neighborhood and soon clash with Bart and Homer.
S07E14;1996-02-04;7.7;Scenes from the Class Struggle in Springfield;After buying a Chanel suit at a bargain price, Marge finds herself invited to a country club by a former schoolmate. Taken in by the opulence of the place, she is soon overcome by a desperation to fit in.
S07E15;1996-02-11;7.6;Bart the Fink;Krusty the Clown is left almost broke after Bart inadvertently rats him out to the IRS, forcing Krusty to take drastic action.
S07E16;1996-02-18;8.1;Lisa the Iconoclast;Lisa may figure out what to do when she discovers that Springfield's founding father was actually a murderous thief while researching for an essay.
S07E17;1996-02-25;8.8;Homer the Smithers;When Smithers is forced to take a vacation, he appoints Homer as his temporary replacement.
S07E18;1996-03-17;8.0;The Day the Violence Died;Bart and Lisa meet a vagabond who claims to be the creator of Itchy from "Itchy and Scratchy."
S07E19;1996-03-24;8.2;A Fish Called Selma;Washed-up movie star Troy McClure starts dating Selma in an attempt to silence bizarre rumors about his personal life and resuscitate his career.
S07E20;1996-03-31;8.6;Bart on the Road;Bart makes a fake driver's license and takes Milhouse, Martin and Nelson on a huge road trip; Lisa spends time with Homer at the power plant.
S07E21;1996-04-14;8.9;22 Short Films About Springfield;A series of vignettes highlights a day in the life of various Springfield residents.
S07E22;1996-04-28;8.5;Raging Abe Simpson and His Grumbling Grandson in 'The Curse of the Flying Hellfish';One of Grampa's old war buddies dies, and it's revealed that Mr. Burns is the only other living member of his WWII squad and things go sour quickly.
S07E23;1996-05-05;8.1;Much Apu About Nothing;Anti-immigration fever sweeps Springfield, which threatens to lead to the deportation of Apu, until Homer decides to reject the mob mentality and help him become a legal citizen.
S07E24;1996-05-19;7.9;Homerpalooza;In an attempt to prove to his kids that es a cool dad, Homer takes them to a music festival but ends up embarrassing them after being hired in a sideshow.
S07E25;1996-05-19;8.4;Summer of 4'2";After realizing how unpopular she is, a disillusioned Lisa sees the vacation to Ned Flanders' beach house as an opportunity to reinvent herself.
